"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","69","HeroValidator test","Hero birthdate tests","","","","Born before now",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","283","SkillValidator test","Skill link tests","","","","499 letter link",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","57","HeroValidator test","Hero name tests","","","","Empty name",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","66","HeroValidator test","Hero lastname tests","","","","Empty lastname",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","219","WorkDelivery test","","","","","getWork positive",""
"passed","Sat Sep 30 22:32:11 MSK 2023","Sat Sep 30 22:32:11 MSK 2023","7","Editor test","","","","","ownerShip not enabled",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","204","HeroValidator test","Hero resume tests","","","","Not pdf",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","134","SkillValidator test","Skill image tests","","","","Zero size image",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","266","SkillValidator test","Skill description tests","","","","0 letter description",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","107","WorkValidator test","Work description tests","","","","Empty description",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","113","WorkValidator test","Work description tests","","","","1 letter description",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","175","WorkValidator test","Work image tests","","","","1 work filename",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","209","HeroValidator test","Hero resume tests","","","","50 letter filename resume",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","275","SkillValidator test","Skill date tests","","","","Start === End",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","61","HeroValidator test","Hero surname tests","","","","Empty surname",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","263","SkillValidator test","Skill name tests","","","","1 letter name",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","133","SkillValidator test","Skill image tests","","","","Small image",""
"passed","Sat Sep 30 22:32:10 MSK 2023","Sat Sep 30 22:32:10 MSK 2023","399","WorkDelivery test","","","","","setWorkName negative",""
"passed","Sat Sep 30 22:32:09 MSK 2023","Sat Sep 30 22:32:09 MSK 2023","127","WorkValidator test","Work date tests","","","","1 work href",""
